Identifier:,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,XX,,,,,,
File Name:,RRLA90B.2,,,,,,RRLA85B.2,,,,,,RRLA80B.2,,,,,,RRLA75B.2,,,,,,RRLA70B.2,,,,,,RRLA65B.2,,,,,,RRLA60B.2,,,,,,RRLA55B.2,,,,,,RRLA50B.2,,,,,,RRLA45B.2,,,,,,RRLA40B.2,,,,,,RRLA35B.2,,,,,,RRLA30B.2,,,,,,RRLA25B.2,,,,,,RRLA20B.2,,,,,,RRLA15B.2,,,,,,RRRA90A.2,,,,,,RRRA85A.2,,,,,,RRRA80A.2,,,,,,RRRA75A.2,,,,,,RRRA70A.2,,,,,,RRRA65A.2,,,,,,RRRA60A.2,,,,,,RRRA55A.2,,,,,,RRRA50A.2,,,,,,RRRA45A.2,,,,,,RRRA40A.2,,,,,,RRRA35A.2,,,,,,RRRA30A.2,,,,,,RRRA25A.2,,,,,,RRRA20A.2,,,,,,RRRA15A.2,,,,,,
Ear:,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,L,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,R,,,,,,
Channel:,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,
Buffer:,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,
Intensity:,90,,,,,,85,,,,,,80,,,,,,75,,,,,,70,,,,,,65,,,,,,60,,,,,,55,,,,,,50,,,,,,45,,,,,,40,,,,,,35,,,,,,30,,,,,,25,,,,,,20,,,,,,15,,,,,,90,,,,,,85,,,,,,80,,,,,,75,,,,,,70,,,,,,65,,,,,,60,,,,,,55,,,,,,50,,,,,,45,,,,,,40,,,,,,35,,,,,,30,,,,,,25,,,,,,20,,,,,,15,,,,,,
Stim. Rate:, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,, 19.30,,,,,,
Stim. Mode:,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,
Sweeps:,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,500,,,,,,
Artifacts:,33,,,,,,33,,,,,,28,,,,,,25,,,,,,35,,,,,,27,,,,,,28,,,,,,36,,,,,,34,,,,,,32,,,,,,31,,,,,,30,,,,,,17,,,,,,33,,,,,,40,,,,,,31,,,,,,12,,,,,,12,,,,,,12,,,,,,10,,,,,,13,,,,,,7,,,,,,5,,,,,,18,,,,,,0,,,,,,2,,,,,,11,,,,,,48,,,,,,31,,,,,,20,,,,,,21,,,,,,24,,,,,,
Smp. Period:,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,25.00,,,,,,
Amp. Gain:,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,
Low Pass:,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,3000.00,,,,,,
High Pass:,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,100.00,,,,,,
Notch Filter:,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,
Stimulus:,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,2,,,,,,
